idx_1,idx_2,ref_clus,ref_frac,max_sim,max_clus,max_frac,sim_mn,sim_sd,percentile_max_sim
0,1,"NonKinetic, Outwardly Inspired, Risk Friendly, Organized, Public",0.0005126185894816609,0.3448512441134456,"Stimulated By Constraints, Collaborator, Outwardly Inspired, Risk Friendly, Reframer",0.1289495776468578,0.24695071122865178,0.06792609434025607,0.8019079685746352
0,1,"NonKinetic, Perfectionist, Collaborator, Externally Motivated, Generalist",0.0002823116869609147,0.3365834317749033,"Collaborator, Routine Seeker, Self-Critical, Generalist, Kinetic",0.0008840813354828645,0.2265824181534207,0.0505875929353105,0.7839506172839507
0,1,"NonKinetic, Risk Friendly, Hate Distractions, Urban, Perfectionist",0.00026745317712086655,1.0,"NonKinetic, Risk Friendly, Hate Distractions, Urban, Perfectionist",0.00026745317712086655,0.20165420673899453,0.14855054016402516,0.9960718294051627
0,1,"NonKinetic, Urban, Love Distractions, Night Owl, Controlled Chaos",0.0002823116869609147,0.3739475999674265,"Risk Averse, Internally Motivated, Night Owl, Controlled Chaos, Stimulated By Constraints",0.0005497648640817813,0.23168164286228096,0.04856575323995473,0.8462401795735129
0,1,"NonKinetic, Urban, Pragmastist, Inwardly Inspired, Stimulated By Constraints",0.00026745317712086655,1.0,"NonKinetic, Urban, Pragmastist, Inwardly Inspired, Stimulated By Constraints",0.00026745317712086655,0.23673886066341457,0.1505136827177845,0.9960718294051627
0,1,"Novelty Seeker, Risk Friendly, Love Distractions, Multitasker, Collaborator",0.13942482708409173,0.8758513790005126,"Novelty Seeker, Noise/Music, Love Distractions, Multitasker, Public",0.10736759210418786,0.37670458568873455,0.19009479393726422,0.9943883277216611
0,1,"Organized, Tenacious, Silence, Stifled By Constraints, Novelty Seeker",0.0002228776476007221,0.3508024371707649,"Tenacious, Collaborator, Fast Paced, Multitasker, Love Distractions",0.000735496237082383,0.19007751613797097,0.06806469710385914,0.808641975308642
0,1,"Pragmastist, Routine Seeker, Stimulated By Constraints, Externally Motivated, Multitasker",0.0002228776476007221,0.32274031645354173,"Routine Seeker, Risk Friendly, Internally Motivated, Noise/Music, Private",0.0035066083222513615,0.21304938516406838,0.0701981595980492,0.7620650953984287
0,1,"Public, Fast Paced, Make It Happen, NonKinetic, Novelty Seeker",0.0004011797656812998,0.41344043886832277,"Public, Make It Happen, Routine Seeker, Solo Creator, Hate Distractions",0.0014932802389248383,0.24885662574577855,0.08553771250588171,0.8731762065095399
0,1,"Public, Tenacious, Let It Happen, Intuitive, Solo Creator",0.0009509446297630811,0.7278944492972661,"Tenacious, Public, Stimulated By Constraints, Let It Happen, Intuitive",0.0005349063542417331,0.3213155134619636,0.12061105074001227,0.9910213243546577
0,1,"Risk Averse, Collaborator, Novelty Seeker, Externally Motivated, Public",0.01547513799841014,0.8113238632896153,"Collaborator, Novelty Seeker, Risk Averse, Slow Paced, Reframer",0.019278916517462465,0.3957942928676215,0.17904893025080432,0.9927048260381593
0,1,"Risk Averse, Hate Distractions, Externally Motivated, Routine Seeker, Make It Happen",0.21605759158414004,0.9385415659915173,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Monotasker",0.19938634354360601,0.4030281530250864,0.17701942841962426,0.9955106621773289
0,1,"Risk Averse, Multitasker, Controlled Chaos, Night Owl, NonKinetic",0.000735496237082383,0.4503825462709036,"Risk Averse, Internally Motivated, Night Owl, Controlled Chaos, Stimulated By Constraints",0.0005497648640817813,0.28744104623247674,0.07867822223511901,0.9006734006734006
0,1,"Risk Friendly, Stifled By Constraints, Novelty Seeker, Internally Motivated, Let It Happen",0.18555307088252118,0.8687582714786966,"Risk Friendly, Stifled By Constraints, Internally Motivated, Novelty Seeker, Let It Happen",0.1369137389211236,0.383352669392213,0.185264176798367,0.9932659932659933
0,1,"Slow Paced, Controlled Chaos, Risk Averse, Generalist, Silence",0.0002971701968009628,0.3992683559972649,"Risk Averse, Internally Motivated, Night Owl, Controlled Chaos, Stimulated By Constraints",0.0005497648640817813,0.24147410052252968,0.07460232460551051,0.8658810325476992
0,1,"Slow Paced, Inwardly Inspired, Collaborator, Hate Distractions, Stimulated By Constraints",0.0005497648640817813,0.3370730492012803,"Internally Motivated, Solo Creator, Stifled By Constraints, Monotasker, Hate Distractions",0.15110361581836956,0.2348043874311606,0.05602417970125395,0.7861952861952862
0,1,"Solo Creator, Generalist, Pragmastist, Hate Distractions, Nature",0.00031945796156103505,0.2912865063240374,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Monotasker",0.19938634354360601,0.21288913844824253,0.051835125146274676,0.675645342312009
0,1,"Solo Creator, Internally Motivated, Monotasker, Private, Stifled By Constraints",0.13743378676552528,0.8709953358206101,"Internally Motivated, Solo Creator, Stifled By Constraints, Monotasker, Hate Distractions",0.15110361581836956,0.40520842362839926,0.16640861400450688,0.9938271604938271
0,1,"Solo Creator, Outwardly Inspired, Controlled Chaos, Night Owl, Let It Happen",0.01954636969458333,0.6978505498094754,"Solo Creator, Reframer, Private, Internally Motivated, Let It Happen",0.10675096394582587,0.39608935688047864,0.16099243256364984,0.9865319865319865
0,1,"Specialist, Early Bird, Tenacious, Monotasker, Outwardly Inspired",0.0003343164714010832,0.3307320878219553,"Internally Motivated, Solo Creator, Stifled By Constraints, Monotasker, Hate Distractions",0.15110361581836956,0.22482433753620992,0.05785622503090151,0.7716049382716049
0,1,"Specialist, NonKinetic, Rational, Stimulated By Constraints, Solo Creator",0.0002005898828406499,1.0,"Specialist, NonKinetic, Rational, Stimulated By Constraints, Solo Creator",0.0002005898828406499,0.22157447752828469,0.15126825529237237,0.9960718294051627
0,1,"Stifled By Constraints, Make It Happen, Routine Seeker, Reframer, Generalist",0.02144082969918947,0.6842341122480577,"Stimulated By Constraints, Collaborator, Outwardly Inspired, Risk Friendly, Reframer",0.1289495776468578,0.40627402825961934,0.17435588363657176,0.9842873176206509
0,1,"Stimulated By Constraints, Collaborator, Outwardly Inspired, Risk Friendly, Multitasker",0.10819223940031054,0.9364769998222207,"Stimulated By Constraints, Collaborator, Outwardly Inspired, Risk Friendly, Reframer",0.1289495776468578,0.3892642454850485,0.19297467550300532,0.9949494949494949
0,1,"Stimulated By Constraints, Inwardly Inspired, Risk Friendly, Night Owl, Hate Distractions",0.009918055318232135,0.6566743402649745,"Internally Motivated, Solo Creator, Stifled By Constraints, Monotasker, Hate Distractions",0.15110361581836956,0.41230377085068376,0.16590150914231366,0.9809203142536476
0,1,"Tenacious, Collaborator, Internally Motivated, Early Bird, Stifled By Constraints",0.0005869111386819015,0.6822368483797074,"Tenacious, Collaborator, Public, Internally Motivated, Early Bird",0.0003417457263211073,0.26129970106834144,0.10544786850715868,0.9837261503928171
